epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4642166793346405,0.9241324067115784,1.9432966709136963,1e-04,0.7125012874603271,0.3150312900543213,0.6714904308319092,0.9737334847450256,1.1057544946670532,0.8026418089866638,0.5712968707084656
1,0.6857280731201172,0.9775851964950562,0.996770441532135,1e-04,0.8069721460342407,0.5811625719070435,0.804405927658081,0.9919307827949524,0.6211017370223999,0.8733931183815002,0.745229959487915
2,0.7676500082015991,0.9874681830406189,0.7019213438034058,1e-04,0.8439103364944458,0.6964746117591858,0.8343626260757446,0.9936456680297852,0.5118459463119507,0.8858146071434021,0.7908563017845154
0,0.4460143446922302,0.9201682209968567,1.9963446855545044,1e-04,0.694118320941925,0.29112204909324646,0.6912157535552979,0.975715160369873,1.0571483373641968,0.8231418132781982,0.575721263885498
0,0.4752162992954254,0.9299123287200928,9.999999747378752e-05,1.8648699522018433,0.7092595100402832,0.3237987756729126,0.6952714323997498,0.9775661826133728,1.0115385055541992,0.8125781416893005,0.5990414023399353
1,0.697533130645752,0.9805699586868286,9.999999747378752e-05,0.9485017657279968,0.8085870146751404,0.5958901047706604,0.6788644194602966,0.9721308350563049,1.091022253036499,0.7457779049873352,0.6146188378334045
2,0.7812039852142334,0.9888131022453308,9.999999747378752e-05,0.6622531414031982,0.8521416783332825,0.7141706347465515,0.847451388835907,0.9934421181678772,0.48842406272888184,0.8892501592636108,0.8067103028297424
3,0.8229933977127075,0.9925745725631714,9.999999747378752e-05,0.5188983678817749,0.8761939406394958,0.7768317461013794,0.80228590965271,0.9900336265563965,0.6082134246826172,0.847327470779419,0.7627431154251099
4,0.8538521528244019,0.9943636059761047,9.999999747378752e-05,0.424019992351532,0.8944377303123474,0.8185290694236755,0.8437644243240356,0.993254542350769,0.4801660180091858,0.883521318435669,0.8159277439117432
5,0.8706967830657959,0.9954583644866943,9.999999747378752e-05,0.3631405830383301,0.9018277525901794,0.8413337469100952,0.8822011351585388,0.9961261749267578,0.35433128476142883,0.9077959060668945,0.8575905561447144
6,0.8901647925376892,0.9958947896957397,9.999999747378752e-05,0.31568819284439087,0.9150374531745911,0.865933358669281,0.9316065907478333,0.9981278777122498,0.20757819712162018,0.9464336633682251,0.9185178279876709
7,0.9023149609565735,0.9960548281669617,9.999999747378752e-05,0.28261128067970276,0.9244910478591919,0.8829851150512695,0.9386118650436401,0.9983873963356018,0.1856839805841446,0.9496943950653076,0.9309613704681396
8,0.9105072021484375,0.99675452709198,9.999999747378752e-05,0.24889490008354187,0.9300632476806641,0.8935934901237488,0.8884689807891846,0.9955017566680908,0.337521493434906,0.9097918272018433,0.8701263070106506
9,0.9171115756034851,0.9973956942558289,9.999999747378752e-05,0.23283159732818604,0.9339714646339417,0.9026141166687012,0.9418379664421082,0.9981441497802734,0.1843048334121704,0.9529910683631897,0.9324361681938171
