epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.40924152731895447,0.9097232818603516,9.999999747378752e-05,2.1063075065612793,0.66741544008255,0.25296851992607117,0.11374320089817047,0.5944209694862366,10.123504638671875,0.11794663220643997,0.10673794895410538
1,0.6063834428787231,0.967437744140625,9.999999747378752e-05,1.2656406164169312,0.7619065046310425,0.47415778040885925,0.18960273265838623,0.6527369618415833,8.7168550491333,0.20551404356956482,0.18001659214496613
2,0.7013990879058838,0.9815202951431274,9.999999747378752e-05,0.9127272963523865,0.8089277744293213,0.6038291454315186,0.3524748682975769,0.7874393463134766,4.75466251373291,0.39719727635383606,0.334408700466156
3,0.7620351910591125,0.9876076579093933,9.999999747378752e-05,0.7116001844406128,0.8414324522018433,0.6861423254013062,0.3922942280769348,0.8345113396644592,3.6495859622955322,0.4190008342266083,0.369527131319046
4,0.8020756840705872,0.9913954138755798,9.999999747378752e-05,0.5743226408958435,0.8642796277999878,0.7476527690887451,0.3729375898838043,0.8053362965583801,4.753015041351318,0.3975354731082916,0.35385748744010925
5,0.8281019926071167,0.9927511811256409,9.999999747378752e-05,0.49078360199928284,0.8765479922294617,0.7834591269493103,0.6030970811843872,0.9182064533233643,1.9565421342849731,0.6461347937583923,0.5762743353843689
6,0.851527988910675,0.9943879842758179,9.999999747378752e-05,0.4257022440433502,0.8914756178855896,0.8151003122329712,0.6290902495384216,0.9202178716659546,1.9238390922546387,0.6607357263565063,0.6092727184295654
7,0.8672680258750916,0.9950205683708191,9.999999747378752e-05,0.3738340735435486,0.8999925851821899,0.8374677896499634,0.6613512635231018,0.9281361699104309,1.7126446962356567,0.6951304078102112,0.6460503339767456
8,0.879694402217865,0.9958757162094116,9.999999747378752e-05,0.3331582546234131,0.9082559943199158,0.8556700944900513,0.598580539226532,0.9005066156387329,2.2819759845733643,0.6300711035728455,0.57977694272995
9,0.8976435661315918,0.9963610172271729,9.999999747378752e-05,0.2832971513271332,0.9189326167106628,0.8764497637748718,0.7395151853561401,0.9615407586097717,1.0729762315750122,0.7718968987464905,0.7205272316932678
